aca,group,king,number,rate,scenario,weight,chart
False,1,False,2725902.4,0.09120189699999999,current,0.377,incomes
True,1,False,818243.41,0.027376384,current,0.377,incomes
True,1,False,818243.41,0.027376384,noschip,0.377,incomes
True,1,False,818243.41,0.027376384,nomoe,0.377,incomes
True,1,True,1015163.21,0.03396483,current,0.377,incomes
True,1,True,1015163.21,0.03396483,noschip,0.377,incomes
True,1,True,1015163.21,0.03396483,nomoe,0.377,incomes
False,2,False,939178.53,0.101718614,current,0.116,incomes
True,2,False,501472.52,0.054312453,current,0.116,incomes
True,2,False,1204955.88,0.13050388,noschip,0.116,incomes
True,2,False,1881434.62,0.20377054600000002,nomoe,0.116,incomes
True,2,True,647501.87,0.070128299,current,0.116,incomes
True,2,True,1350985.23,0.14631972599999998,noschip,0.116,incomes
True,2,True,2521794.77,0.273125354,nomoe,0.116,incomes
False,3,False,1313274.5,0.063575354,current,0.261,incomes
True,3,False,720444.37,0.034876567000000004,current,0.261,incomes
True,3,False,1164143.1,0.056355933,noschip,0.261,incomes
True,3,False,1316269.33,0.063720333,nomoe,0.261,incomes
True,3,True,1070762.7,0.051835407,current,0.261,incomes
True,3,True,1514461.43,0.073314773,noschip,0.261,incomes
True,3,True,1776194.31,0.085985209,nomoe,0.261,incomes
False,4,False,932669.53,0.047779585,current,0.246,incomes
True,4,False,835724.26,0.04281319,current,0.246,incomes
True,4,False,836652.4161,0.042860737999999995,noschip,0.246,incomes
True,4,False,836652.4161,0.042860737999999995,nomoe,0.246,incomes
True,4,True,871324.032,0.044636925,current,0.246,incomes
True,4,True,872252.1881,0.044684474,noschip,0.246,incomes
True,4,True,872252.1881,0.044684474,nomoe,0.246,incomes
